COD_PRODUCTO,COD_CATEGORIA,COD_CLIENTE,COD_PAIS,COD_VENDEDOR,COD_SUCURSAL,Fecha,Cantidad_Vendida,Monto_Vendido,Precio,Comision_Comercial
P00017,C00003,CLI00302,HON,V00057,SUC00015,2019-01-16,33,690000.00,20909.09,75900.00
P00017,C00003,CLI00584,MEX,V00014,SUC00048,2017-06-23,23,370000.00,16086.96,29600.00
P00017,C00003,CLI00584,MEX,V00014,SUC00048,2020-06-23,23,370000.00,16086.96,29600.00
P00017,C00003,CLI00351,ESP,V00026,SUC00046,2016-04-13,1,20000.00,20000.00,0.22
P00017,C00003,CLI00351,ESP,V00026,SUC00046,2020-04-13,1,20000.00,20000.00,0.22
P00017,C00003,CLI00760,ESP,V00012,SUC00050,2017-04-20,26,310000.00,11923.08,58900.00
P00017,C00003,CLI00636,PAR,V00033,SUC00018,2019-02-01,48,510000.00,10625.00,35700.00
P00017,C00003,CLI00636,DOM,V00028,SUC00044,2018-05-20,34,540000.00,15882.35,43200.00
P00017,C00003,CLI00636,DOM,V00028,SUC00044,2021-05-20,34,540000.00,15882.35,43200.00
P00017,C00003,CLI00688,GUA,V00056,SUC00017,2018-12-24,9,470000.00,52222.22,37600.00
P00017,C00003,CLI00199,CHI,V00023,SUC00059,2016-10-09,30,310000.00,10333.33,37200.00
P00017,C00003,CLI00199,CHI,V00023,SUC00059,2020-10-09,30,310000.00,10333.33,37200.00
P00017,C00003,CLI00199,COL,V00018,SUC00038,2016-08-12,7,100000.00,14285.71,0.90
P00017,C00003,CLI00199,COL,V00018,SUC00038,2020-08-12,7,100000.00,14285.71,0.90
P00017,C00003,CLI00787,CRI,V00003,SUC00026,2016-09-30,47,500000.00,10638.30,100000.00
P00017,C00003,CLI00787,CRI,V00003,SUC00026,2017-06-04,21,220000.00,10476.19,17600.00
P00017,C00003,CLI00787,CRI,V00003,SUC00026,2020-06-04,21,220000.00,10476.19,17600.00
P00017,C00003,CLI00787,CRI,V00003,SUC00026,2020-09-30,47,500000.00,10638.30,100000.00
P00017,C00003,CLI00069,CRI,V00003,SUC00026,2016-12-02,9,100000.00,11111.11,0.50
P00017,C00003,CLI00666,HON,V00020,SUC00032,2018-07-08,7,80000.00,11428.57,0.72
P00017,C00003,CLI00666,HON,V00020,SUC00032,2021-07-08,7,80000.00,11428.57,0.72
P00017,C00003,CLI00321,ESP,V00012,SUC00050,2018-11-27,14,150000.00,10714.29,22500.00
P00017,C00003,CLI00321,ESP,V00012,SUC00050,2020-11-27,14,150000.00,10714.29,22500.00
P00017,C00003,CLI00321,GUA,V00011,SUC00028,2017-07-21,29,480000.00,16551.72,81600.00
P00017,C00003,CLI00321,GUA,V00011,SUC00028,2018-09-15,34,360000.00,10588.24,21600.00
P00017,C00003,CLI00321,GUA,V00011,SUC00028,2020-07-21,29,480000.00,16551.72,81600.00
P00017,C00003,CLI00321,GUA,V00011,SUC00028,2021-09-15,34,360000.00,10588.24,21600.00
P00017,C00003,CLI00321,DOM,V00004,SUC00041,2019-08-28,24,250000.00,10416.67,50000.00
P00017,C00003,CLI00029,ECU,V00050,SUC00023,2016-03-27,26,330000.00,12692.31,36300.00
P00017,C00003,CLI00029,ECU,V00050,SUC00023,2020-01-26,26,330000.00,12692.31,36300.00
P00017,C00003,CLI00029,ECU,V00050,SUC00023,2020-03-27,26,330000.00,12692.31,36300.00
P00017,C00003,CLI00029,HON,V00057,SUC00015,2016-02-20,41,430000.00,10487.80,77400.00
P00017,C00003,CLI00029,HON,V00057,SUC00015,2019-12-21,41,430000.00,10487.80,77400.00
P00017,C00003,CLI00029,HON,V00057,SUC00015,2020-02-20,41,430000.00,10487.80,77400.00
P00017,C00003,CLI00385,ECU,V00007,SUC00002,2019-10-25,40,410000.00,10250.00,61500.00
P00017,C00003,CLI00385,DOM,V00004,SUC00041,2016-05-26,37,390000.00,10540.54,50700.00
P00017,C00003,CLI00385,DOM,V00004,SUC00041,2020-05-26,37,390000.00,10540.54,50700.00
P00017,C00003,CLI00025,ECU,V00050,SUC00023,2017-07-04,8,90000.00,11250.00,13500.00
P00017,C00003,CLI00025,ECU,V00050,SUC00023,2020-07-04,8,90000.00,11250.00,13500.00
P00017,C00003,CLI00061,COL,V00039,SUC00012,2018-03-10,27,280000.00,10370.37,30800.00
P00017,C00003,CLI00061,COL,V00039,SUC00012,2021-03-10,27,280000.00,10370.37,30800.00
P00017,C00003,CLI00520,CHI,V00030,SUC00051,2019-07-30,4,780000.00,195000.00,117000.00
P00017,C00003,CLI00520,COL,V00046,SUC00019,2019-05-07,11,130000.00,11818.18,0.91
P00017,C00003,CLI00310,ARG,V00042,SUC00043,2019-06-11,2,30000.00,15000.00,0.42
P00017,C00003,CLI00310,COL,V00046,SUC00019,2016-07-24,14,160000.00,11428.57,27200.00
P00017,C00003,CLI00310,PAR,V00002,SUC00047,2018-02-13,23,240000.00,10434.78,45600.00
P00017,C00003,CLI00310,PAR,V00002,SUC00047,2021-02-13,23,240000.00,10434.78,45600.00
P00017,C00003,CLI00444,ARG,V00058,SUC00024,2018-05-09,16,170000.00,10625.00,27200.00
P00017,C00003,CLI00444,ARG,V00058,SUC00024,2021-05-09,16,170000.00,10625.00,27200.00
P00017,C00003,CLI00444,HON,V00024,SUC00021,2018-09-06,8,90000.00,11250.00,17100.00
P00017,C00003,CLI00444,HON,V00024,SUC00021,2021-09-06,8,90000.00,11250.00,17100.00
P00017,C00003,CLI00444,PER,V00013,SUC00036,2016-06-17,25,260000.00,10400.00,26000.00
P00017,C00003,CLI00664,HON,V00006,SUC00030,2017-05-06,9,100000.00,11111.11,14000.00
P00017,C00003,CLI00132,ARG,V00042,SUC00043,2017-11-29,48,520000.00,10833.33,67600.00
P00017,C00003,CLI00132,GUA,V00015,SUC00004,2016-12-19,36,770000.00,21388.89,123200.00
P00017,C00003,CLI00027,URU,V00010,SUC00034,2019-10-01,27,290000.00,10740.74,58000.00
P00017,C00003,CLI00136,ECU,V00029,SUC00025,2019-07-22,10,110000.00,11000.00,17600.00
P00017,C00003,CLI00136,MEX,V00047,SUC00056,2018-01-06,47,500000.00,10638.30,65000.00
P00017,C00003,CLI00136,MEX,V00047,SUC00056,2021-01-06,47,500000.00,10638.30,65000.00
P00017,C00003,CLI00486,GUA,V00056,SUC00017,2017-05-11,5,260000.00,52000.00,33800.00
P00017,C00003,CLI00486,HON,V00006,SUC00030,2018-05-14,24,250000.00,10416.67,35000.00
P00017,C00003,CLI00486,HON,V00006,SUC00030,2021-05-14,24,250000.00,10416.67,35000.00
P00017,C00003,CLI00600,CRI,V00060,SUC00022,2019-03-17,8,110000.00,13750.00,15400.00
P00017,C00003,CLI00600,ESP,V00045,SUC00008,2019-03-03,21,220000.00,10476.19,37400.00
P00017,C00003,CLI00283,ARG,V00053,SUC00006,2019-02-11,31,410000.00,13225.81,28700.00
P00017,C00003,CLI00715,MEX,V00048,SUC00053,2017-08-09,19,200000.00,10526.32,14000.00
P00017,C00003,CLI00364,PER,V00038,SUC00035,2018-08-09,17,180000.00,10588.24,34200.00
P00017,C00003,CLI00364,PER,V00038,SUC00035,2021-08-09,17,180000.00,10588.24,34200.00
P00017,C00003,CLI00331,MEX,V00019,SUC00005,2018-11-17,3,380000.00,126666.67,19000.00
P00017,C00003,CLI00331,MEX,V00019,SUC00005,2020-11-17,3,380000.00,126666.67,19000.00
P00017,C00003,CLI00371,DOM,V00004,SUC00041,2016-05-27,26,270000.00,10384.62,16200.00
P00017,C00003,CLI00371,DOM,V00004,SUC00041,2020-05-27,26,270000.00,10384.62,16200.00
P00017,C00003,CLI00140,CRI,V00055,SUC00052,2018-05-17,5,60000.00,12000.00,0.48
P00017,C00003,CLI00140,CRI,V00055,SUC00052,2021-05-17,5,60000.00,12000.00,0.48
P00017,C00003,CLI00529,ARG,V00017,SUC00045,2017-05-25,2,30000.00,15000.00,0.21
P00017,C00003,CLI00529,COL,V00039,SUC00012,2018-07-21,1,20000.00,20000.00,0.24
P00017,C00003,CLI00529,COL,V00039,SUC00012,2021-07-21,1,20000.00,20000.00,0.24
P00017,C00003,CLI00529,URU,V00027,SUC00065,2017-07-31,20,250000.00,12500.00,50000.00
P00017,C00003,CLI00529,URU,V00027,SUC00065,2020-07-31,20,250000.00,12500.00,50000.00
P00017,C00003,CLI00529,URU,V00041,SUC00058,2016-03-19,28,290000.00,10357.14,17400.00
P00017,C00003,CLI00529,URU,V00041,SUC00058,2020-01-18,28,290000.00,10357.14,17400.00
P00017,C00003,CLI00529,URU,V00041,SUC00058,2020-03-19,28,290000.00,10357.14,17400.00
P00017,C00003,CLI00742,ARG,V00042,SUC00043,2017-12-07,1,40000.00,40000.00,0.36
P00017,C00003,CLI00742,ARG,V00042,SUC00043,2020-12-07,1,40000.00,40000.00,0.36
P00017,C00003,CLI00742,GUA,V00005,SUC00013,2017-12-14,42,510000.00,12142.86,91800.00
P00017,C00003,CLI00742,GUA,V00005,SUC00013,2020-12-14,42,510000.00,12142.86,91800.00
P00017,C00003,CLI00742,HON,V00034,SUC00062,2017-07-19,44,970000.00,22045.45,184300.00
P00017,C00003,CLI00742,HON,V00034,SUC00062,2020-07-19,44,970000.00,22045.45,184300.00
P00017,C00003,CLI00742,MEX,V00047,SUC00056,2019-10-13,37,380000.00,10270.27,38000.00
P00017,C00003,CLI00742,PAR,V00043,SUC00009,2016-12-12,32,340000.00,10625.00,68000.00
P00017,C00003,CLI00008,ECU,V00064,SUC00060,2019-09-27,5,60000.00,12000.00,0.48
P00017,C00003,CLI00008,PER,V00040,SUC00061,2019-01-22,5,60000.00,12000.00,10200.00
P00017,C00003,CLI00429,ARG,V00017,SUC00045,2018-04-02,4,50000.00,12500.00,0.90
P00017,C00003,CLI00429,ARG,V00017,SUC00045,2021-04-02,4,50000.00,12500.00,0.90
P00017,C00003,CLI00429,GUA,V00016,SUC00007,2016-11-02,16,200000.00,12500.00,32000.00
P00017,C00003,CLI00299,PER,V00013,SUC00036,2019-08-14,5,60000.00,12000.00,0.72
P00017,C00003,CLI00265,URU,V00010,SUC00034,2019-01-25,30,320000.00,10666.67,38400.00
P00017,C00003,CLI00098,ARG,V00058,SUC00024,2018-11-21,6,70000.00,11666.67,0.49
P00017,C00003,CLI00098,ARG,V00058,SUC00024,2020-11-21,6,70000.00,11666.67,0.49
P00017,C00003,CLI00098,COL,V00018,SUC00038,2017-11-05,31,330000.00,10645.16,16500.00
P00017,C00003,CLI00098,PAR,V00002,SUC00047,2019-06-01,43,480000.00,11162.79,43200.00
P00017,C00003,CLI00098,URU,V00049,SUC00063,2018-09-03,29,300000.00,10344.83,51000.00
P00017,C00003,CLI00098,URU,V00049,SUC00063,2021-09-03,29,300000.00,10344.83,51000.00
P00017,C00003,CLI00047,ECU,V00050,SUC00023,2019-10-08,5,60000.00,12000.00,0.66
P00017,C00003,CLI00047,URU,V00010,SUC00034,2016-04-11,47,550000.00,11702.13,60500.00
P00017,C00003,CLI00047,URU,V00010,SUC00034,2020-04-11,47,550000.00,11702.13,60500.00
P00017,C00003,CLI00507,ARG,V00032,SUC00057,2016-07-05,8,90000.00,11250.00,0.45
P00017,C00003,CLI00507,ESP,V00061,SUC00014,2016-05-27,33,440000.00,13333.33,22000.00
P00017,C00003,CLI00507,ESP,V00061,SUC00014,2020-05-27,33,440000.00,13333.33,22000.00
P00017,C00003,CLI00507,GUA,V00016,SUC00007,2019-05-21,21,220000.00,10476.19,15400.00
P00017,C00003,CLI00507,PER,V00009,SUC00055,2019-06-10,1,20000.00,20000.00,0.20
P00017,C00003,CLI00585,GUA,V00015,SUC00004,2016-10-23,5,60000.00,12000.00,0.84
P00017,C00003,CLI00585,GUA,V00015,SUC00004,2020-10-23,5,60000.00,12000.00,0.84
P00017,C00003,CLI00585,PER,V00013,SUC00036,2017-05-20,36,380000.00,10555.56,76000.00
P00017,C00003,CLI00211,CRI,V00055,SUC00052,2016-05-18,15,160000.00,10666.67,24000.00
P00017,C00003,CLI00211,CRI,V00055,SUC00052,2020-05-18,15,160000.00,10666.67,24000.00
P00017,C00003,CLI00663,ARG,V00032,SUC00057,2018-05-20,32,330000.00,10312.50,59400.00
P00017,C00003,CLI00663,ARG,V00032,SUC00057,2021-05-20,32,330000.00,10312.50,59400.00
P00017,C00003,CLI00362,GUA,V00056,SUC00017,2019-08-09,11,120000.00,10909.09,12000.00
P00017,C00003,CLI00276,DOM,V00004,SUC00041,2019-01-07,39,400000.00,10256.41,48000.00
P00017,C00003,CLI00337,ARG,V00053,SUC00006,2017-11-16,6,70000.00,11666.67,0.77
P00017,C00003,CLI00337,CRI,V00003,SUC00026,2016-08-01,30,310000.00,10333.33,27900.00
P00017,C00003,CLI00337,CRI,V00003,SUC00026,2020-08-01,30,310000.00,10333.33,27900.00
P00017,C00003,CLI00427,ESP,V00045,SUC00008,2018-02-07,42,480000.00,11428.57,91200.00
P00017,C00003,CLI00427,ESP,V00045,SUC00008,2021-02-07,42,480000.00,11428.57,91200.00
P00017,C00003,CLI00092,MEX,V00014,SUC00048,2016-07-20,6,830000.00,138333.33,49800.00
P00017,C00003,CLI00656,CHI,V00030,SUC00051,2016-07-17,42,430000.00,10238.10,68800.00
P00017,C00003,CLI00306,ARG,V00017,SUC00045,2016-10-21,50,580000.00,11600.00,29000.00
P00017,C00003,CLI00306,ARG,V00017,SUC00045,2020-10-21,50,580000.00,11600.00,29000.00
P00017,C00003,CLI00306,CRI,V00060,SUC00022,2018-02-05,14,180000.00,12857.14,12600.00
P00017,C00003,CLI00306,CRI,V00060,SUC00022,2021-02-05,14,180000.00,12857.14,12600.00
P00017,C00003,CLI00195,PER,V00037,SUC00010,2016-11-14,8,120000.00,15000.00,19200.00
P00017,C00003,CLI00212,HON,V00024,SUC00021,2019-04-17,37,440000.00,11891.89,39600.00
P00017,C00003,CLI00212,MEX,V00048,SUC00053,2019-03-20,33,340000.00,10303.03,54400.00
P00017,C00003,CLI00226,CHI,V00052,SUC00003,2016-07-20,30,320000.00,10666.67,28800.00
P00017,C00003,CLI00145,GUA,V00056,SUC00017,2017-07-24,21,220000.00,10476.19,37400.00
P00017,C00003,CLI00145,GUA,V00056,SUC00017,2020-07-24,21,220000.00,10476.19,37400.00
P00017,C00003,CLI00695,ARG,V00058,SUC00024,2018-05-14,6,70000.00,11666.67,11900.00
P00017,C00003,CLI00695,ARG,V00058,SUC00024,2021-05-14,6,70000.00,11666.67,11900.00
P00017,C00003,CLI00014,DOM,V00028,SUC00044,2018-06-17,12,130000.00,10833.33,0.78
P00017,C00003,CLI00014,DOM,V00028,SUC00044,2021-06-17,12,130000.00,10833.33,0.78
P00017,C00003,CLI00280,COL,V00051,SUC00001,2018-03-09,33,380000.00,11515.15,30400.00
P00017,C00003,CLI00280,COL,V00051,SUC00001,2021-03-09,33,380000.00,11515.15,30400.00
P00017,C00003,CLI00184,ARG,V00053,SUC00006,2016-10-01,35,580000.00,16571.43,34800.00
P00017,C00003,CLI00184,ARG,V00053,SUC00006,2020-10-01,35,580000.00,16571.43,34800.00
P00017,C00003,CLI00494,ESP,V00045,SUC00008,2016-03-13,3,40000.00,13333.33,0.28
P00017,C00003,CLI00494,ESP,V00045,SUC00008,2020-01-12,3,40000.00,13333.33,0.28
P00017,C00003,CLI00494,ESP,V00045,SUC00008,2020-03-13,3,40000.00,13333.33,0.28
P00017,C00003,CLI00300,PAR,V00002,SUC00047,2018-04-10,16,170000.00,10625.00,23800.00
P00017,C00003,CLI00300,PAR,V00002,SUC00047,2021-04-10,16,170000.00,10625.00,23800.00
P00017,C00003,CLI00369,CRI,V00001,SUC00031,2018-02-04,49,500000.00,10204.08,45000.00
P00017,C00003,CLI00369,CRI,V00001,SUC00031,2021-02-04,49,500000.00,10204.08,45000.00
P00017,C00003,CLI00369,MEX,V00047,SUC00056,2019-09-05,13,140000.00,10769.23,18200.00
P00017,C00003,CLI00369,PAR,V00002,SUC00047,2016-02-15,23,240000.00,10434.78,28800.00
P00017,C00003,CLI00369,PAR,V00002,SUC00047,2019-12-16,23,240000.00,10434.78,28800.00
P00017,C00003,CLI00369,PAR,V00002,SUC00047,2020-02-15,23,240000.00,10434.78,28800.00
P00017,C00003,CLI00369,PAR,V00043,SUC00009,2018-02-08,13,140000.00,10769.23,15400.00
P00017,C00003,CLI00369,PAR,V00043,SUC00009,2021-02-08,13,140000.00,10769.23,15400.00
P00017,C00003,CLI00312,ARG,V00032,SUC00057,2017-06-28,32,330000.00,10312.50,59400.00
P00017,C00003,CLI00312,ARG,V00032,SUC00057,2020-06-28,32,330000.00,10312.50,59400.00
P00017,C00003,CLI00736,CHI,V00052,SUC00003,2018-02-28,9,100000.00,11111.11,19000.00
P00017,C00003,CLI00736,CHI,V00052,SUC00003,2021-02-28,9,100000.00,11111.11,19000.00
P00017,C00003,CLI00736,CRI,V00022,SUC00037,2017-01-11,27,300000.00,11111.11,21000.00
P00017,C00003,CLI00736,ESP,V00061,SUC00014,2016-07-24,43,440000.00,10232.56,83600.00
P00017,C00003,CLI00736,PAR,V00043,SUC00009,2018-12-07,1,20000.00,20000.00,0.14
P00017,C00003,CLI00762,DOM,V00028,SUC00044,2018-02-07,37,380000.00,10270.27,38000.00
P00017,C00003,CLI00762,DOM,V00028,SUC00044,2021-02-07,37,380000.00,10270.27,38000.00
P00017,C00003,CLI00129,COL,V00039,SUC00012,2017-09-17,19,200000.00,10526.32,38000.00
P00017,C00003,CLI00129,DOM,V00035,SUC00016,2018-11-21,33,340000.00,10303.03,20400.00
P00017,C00003,CLI00129,DOM,V00035,SUC00016,2020-11-21,33,340000.00,10303.03,20400.00
P00017,C00003,CLI00170,URU,V00065,SUC00039,2016-10-29,31,320000.00,10322.58,41600.00
P00017,C00003,CLI00170,URU,V00065,SUC00039,2020-10-29,31,320000.00,10322.58,41600.00
P00017,C00003,CLI00685,MEX,V00021,SUC00064,2018-02-13,30,310000.00,10333.33,34100.00
P00017,C00003,CLI00685,MEX,V00021,SUC00064,2021-02-13,30,310000.00,10333.33,34100.00
P00017,C00003,CLI00701,DOM,V00059,SUC00011,2017-01-16,6,70000.00,11666.67,11200.00
P00017,C00003,CLI00387,ESP,V00045,SUC00008,2019-01-30,43,600000.00,13953.49,36000.00
P00017,C00003,CLI00387,PER,V00037,SUC00010,2019-01-30,17,180000.00,10588.24,10800.00
P00017,C00003,CLI00594,URU,V00041,SUC00058,2017-07-14,17,230000.00,13529.41,46000.00
P00017,C00003,CLI00594,URU,V00041,SUC00058,2020-07-14,17,230000.00,13529.41,46000.00
P00017,C00003,CLI00089,PAR,V00043,SUC00009,2016-01-07,46,530000.00,11521.74,106000.00
P00017,C00003,CLI00089,PAR,V00043,SUC00009,2019-11-07,46,530000.00,11521.74,106000.00
P00017,C00003,CLI00436,ECU,V00029,SUC00025,2016-04-16,37,380000.00,10270.27,26600.00
P00017,C00003,CLI00436,ECU,V00029,SUC00025,2020-04-16,37,380000.00,10270.27,26600.00
P00017,C00003,CLI00706,ARG,V00017,SUC00045,2019-04-09,27,280000.00,10370.37,50400.00
P00017,C00003,CLI00706,CHI,V00062,SUC00020,2019-05-11,12,130000.00,10833.33,26000.00
P00017,C00003,CLI00683,CHI,V00030,SUC00051,2016-04-22,45,470000.00,10444.44,23500.00
P00017,C00003,CLI00683,CHI,V00030,SUC00051,2020-04-22,45,470000.00,10444.44,23500.00
P00017,C00003,CLI00683,URU,V00049,SUC00063,2019-05-03,20,210000.00,10500.00,29400.00
P00017,C00003,CLI00654,PAR,V00033,SUC00018,2017-08-05,26,270000.00,10384.62,18900.00
P00017,C00003,CLI00709,PAR,V00043,SUC00009,2016-09-04,37,1810000.00,48918.92,217200.00
P00017,C00003,CLI00709,PAR,V00043,SUC00009,2020-09-04,37,1810000.00,48918.92,217200.00
P00017,C00003,CLI00709,DOM,V00004,SUC00041,2017-05-21,46,490000.00,10652.17,88200.00
P00017,C00003,CLI00768,GUA,V00011,SUC00028,2017-09-17,35,370000.00,10571.43,48100.00
P00017,C00003,CLI00768,MEX,V00014,SUC00048,2018-01-10,36,370000.00,10277.78,70300.00
P00017,C00003,CLI00768,MEX,V00014,SUC00048,2021-01-10,36,370000.00,10277.78,70300.00
P00017,C00003,CLI00768,DOM,V00004,SUC00041,2019-08-15,38,400000.00,10526.32,20000.00
P00017,C00003,CLI00492,GUA,V00056,SUC00017,2017-11-21,13,140000.00,10769.23,22400.00
P00017,C00003,CLI00492,DOM,V00035,SUC00016,2016-09-06,10,110000.00,11000.00,19800.00
P00017,C00003,CLI00492,DOM,V00035,SUC00016,2020-09-06,10,110000.00,11000.00,19800.00
P00017,C00003,CLI00492,URU,V00065,SUC00039,2017-11-21,27,280000.00,10370.37,33600.00
P00017,C00003,CLI00207,CRI,V00060,SUC00022,2019-09-03,6,70000.00,11666.67,0.77
P00017,C00003,CLI00207,ESP,V00045,SUC00008,2018-06-15,21,220000.00,10476.19,33000.00
P00017,C00003,CLI00207,ESP,V00045,SUC00008,2021-06-15,21,220000.00,10476.19,33000.00
P00017,C00003,CLI00782,ARG,V00032,SUC00057,2017-04-25,34,360000.00,10588.24,54000.00
P00017,C00003,CLI00782,MEX,V00047,SUC00056,2019-08-18,34,410000.00,12058.82,61500.00
P00017,C00003,CLI00782,DOM,V00035,SUC00016,2016-09-08,38,400000.00,10526.32,52000.00
P00017,C00003,CLI00782,DOM,V00035,SUC00016,2020-09-08,38,400000.00,10526.32,52000.00
P00017,C00003,CLI00480,HON,V00034,SUC00062,2018-05-05,6,80000.00,13333.33,0.72
P00017,C00003,CLI00480,HON,V00034,SUC00062,2021-05-05,6,80000.00,13333.33,0.72
P00017,C00003,CLI00002,MEX,V00014,SUC00048,2018-08-21,23,240000.00,10434.78,48000.00
P00017,C00003,CLI00002,MEX,V00014,SUC00048,2021-08-21,23,240000.00,10434.78,48000.00
P00017,C00003,CLI00002,MEX,V00021,SUC00064,2018-08-21,2,30000.00,15000.00,0.51
P00017,C00003,CLI00002,MEX,V00021,SUC00064,2021-08-21,2,30000.00,15000.00,0.51
P00017,C00003,CLI00435,ARG,V00053,SUC00006,2018-08-08,22,480000.00,21818.18,48000.00
P00017,C00003,CLI00435,ARG,V00053,SUC00006,2021-08-08,22,480000.00,21818.18,48000.00
P00017,C00003,CLI00435,CRI,V00003,SUC00026,2016-01-28,34,350000.00,10294.12,66500.00
P00017,C00003,CLI00435,CRI,V00003,SUC00026,2019-11-28,34,350000.00,10294.12,66500.00
P00017,C00003,CLI00435,ECU,V00007,SUC00002,2018-07-07,21,250000.00,11904.76,42500.00
P00017,C00003,CLI00435,ECU,V00007,SUC00002,2021-07-07,21,250000.00,11904.76,42500.00
P00017,C00003,CLI00435,MEX,V00047,SUC00056,2018-08-08,30,340000.00,11333.33,30600.00
P00017,C00003,CLI00435,MEX,V00047,SUC00056,2021-08-08,30,340000.00,11333.33,30600.00
P00017,C00003,CLI00293,CHI,V00030,SUC00051,2019-08-04,15,160000.00,10666.67,11200.00
P00017,C00003,CLI00293,MEX,V00021,SUC00064,2017-02-02,21,300000.00,14285.71,51000.00
P00017,C00003,CLI00567,ARG,V00017,SUC00045,2019-10-27,26,310000.00,11923.08,55800.00
P00017,C00003,CLI00268,CRI,V00003,SUC00026,2019-02-28,8,100000.00,12500.00,11000.00
P00017,C00003,CLI00268,ECU,V00050,SUC00023,2017-08-16,39,400000.00,10256.41,76000.00
P00017,C00003,CLI00268,GUA,V00015,SUC00004,2019-02-28,25,260000.00,10400.00,46800.00
P00017,C00003,CLI00268,HON,V00057,SUC00015,2019-06-13,40,460000.00,11500.00,50600.00
P00017,C00003,CLI00467,ARG,V00053,SUC00006,2019-04-05,24,310000.00,12916.67,46500.00
P00017,C00003,CLI00467,MEX,V00019,SUC00005,2016-03-11,36,390000.00,10833.33,58500.00
P00017,C00003,CLI00467,MEX,V00019,SUC00005,2020-01-10,36,390000.00,10833.33,58500.00
P00017,C00003,CLI00467,MEX,V00019,SUC00005,2020-03-11,36,390000.00,10833.33,58500.00
P00017,C00003,CLI00481,CRI,V00001,SUC00031,2017-07-18,14,180000.00,12857.14,30600.00
P00017,C00003,CLI00481,CRI,V00001,SUC00031,2020-07-18,14,180000.00,12857.14,30600.00
